interests,skills,personality,career_path
"organizing, user feedback, leadership, business strategy","market research, analytics, product roadmap, communication, scrum","leader, communicative, decisive",Product Manager
"leadership, business strategy, collaboration","agile, communication, scrum, statistics","adaptable, leader, decisive",Product Manager
"optimization, organization","sql, performance tuning, postgresql, mysql","organized, meticulous",Database Administrator
"automation, system administration, networking","cicd, bash, jenkins, python","logical, organized, systematic",DevOps Engineer
"open source, coding","javascript, react, algorithms","problem solver, analytical",Software Engineer
"art, drawing, design","interaction design, figma, wireframing, mysql","visual, creative, observant",UI/UX Designer
"optimization, system performance","mysql, database design, performance tuning","logical, patient",Database Administrator
"business strategy, leadership, collaboration, user feedback","analytics, scrum, communication, market research, git","leader, adaptable",Product Manager
"statistics, data analysis","data visualization, machine learning, statistics, python","curious, researcher",Data Scientist
"hacking, networking","penetration testing, networking, cryptography, linux, security audit","detail-oriented, analytical, skeptical",Cybersecurity Specialist
"cloud computing, system administration","linux, cicd, kubernetes, jenkins, bash","pragmatic, logical, systematic",DevOps Engineer
"hacking, security, networking","firewalls, penetration testing, networking, linux","skeptical, vigilant",Cybersecurity Specialist
"puzzles, data analysis","data visualization, numpy, statistics","curious, analytical",Data Scientist
"behavioral psychology, writing","copywriting, social media, seo, sem, google analytics","dynamic, outgoing",Digital Marketer
"open source, problem solving, coding","react, git, algorithms","detail-oriented, logical",Software Engineer
"optimization, organization, system performance","database design, performance tuning, backup recovery","meticulous, organized",Database Administrator
"privacy, investigation","penetration testing, cryptography, security audit, networking, firewalls, algorithms","skeptical, detail-oriented",Cybersecurity Specialist
"data structure, system performance","mysql, backup recovery, performance tuning, database design","logical, meticulous",Database Administrator
"privacy, hacking","penetration testing, cryptography, linux, copywriting","vigilant, analytical, detail-oriented",Cybersecurity Specialist
"advertising, trends, writing, socializing","google analytics, seo, copywriting, content marketing","creative, persuasive, outgoing",Digital Marketer
"system administration, networking, automation, cloud computing","docker, linux, aws, kubernetes","logical, organized",DevOps Engineer
"math, research","sql, python, numpy, data visualization","analytical, researcher, curious",Data Scientist
"hacking, networking, security, investigation","security audit, cryptography, firewalls, penetration testing, linux","analytical, detail-oriented",Cybersecurity Specialist
"leadership, user feedback","scrum, agile, market research","communicative, adaptable",Product Manager
"system administration, automation, networking","aws, jenkins, cicd, linux, docker","organized, pragmatic, logical",DevOps Engineer
"drawing, human behavior, psychology","interaction design, prototyping, figma","empathetic, visual",UI/UX Designer
"networking, system administration, cloud computing, automation","docker, bash, jenkins, user research","systematic, pragmatic, organized",DevOps Engineer
"coding, web apps","node.js, react, javascript, sketch","logical, detail-oriented",Software Engineer
"automation, system administration, cloud computing, networking","aws, bash, cicd, jenkins, linux","organized, systematic, pragmatic",DevOps Engineer
"statistics, puzzles, math, data analysis","machine learning, statistics, pandas","researcher, logical",Data Scientist
"writing, socializing, behavioral psychology, advertising","copywriting, sem, social media, google analytics","outgoing, creative, persuasive",Digital Marketer
"optimization, data structure, system performance, organization","postgresql, performance tuning, mysql, database design, sql","logical, organized",Database Administrator
"human behavior, design, psychology, art","prototyping, wireframing, sketch","visual, empathetic, creative",UI/UX Designer
"networking, system administration, automation, cloud computing","aws, kubernetes, docker, bash, cicd","pragmatic, systematic, logical",DevOps Engineer
"automation, cloud computing, networking, system administration","aws, jenkins, linux, bash, docker","pragmatic, organized",DevOps Engineer
"system performance, optimization","sql, postgresql, mysql","organized, meticulous",Database Administrator
"problem solving, coding, technology","data structures, react, javascript, git","detail-oriented, analytical",Software Engineer
"privacy, security, investigation, hacking","networking, firewalls, penetration testing","skeptical, detail-oriented",Cybersecurity Specialist
